YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,BBOX
"2018",CA,CCO,SBC,WINDMILL,"00009316",2018/07/20,2018/07/23,"2",,100.00000000000,90.14700000000,"1","1",,4236.57064072000,364811.93883200001,"Polygon ((-120.21987302 34.63590556, -120.20885168 34.63590556, -120.20885168 34.64242735, -120.21987302 34.64242735, -120.21987302 34.63590556))"
"2018",CA,CCO,SBC,HAPPY,"00006443",2018/05/17,2018/05/17,"11",,60.00000000000,59.46510000000,"1","1",,2391.57204454000,240646.87577799999,"Polygon ((-119.99286272 34.6328349, -119.98527082 34.6328349, -119.98527082 34.63778166, -119.99286272 34.63778166, -119.99286272 34.6328349))"
"2018",CA,CDF,BEU,FAIRVIEW 2,"00002638",2018/06/03,2018/06/03,"11",,35.00000000000,35.76860000000,"2","1",,1676.80377297000,144750.52168899999,"Polygon ((-121.36318105 36.82747606, -121.35833325 36.82747606, -121.35833325 36.83295006, -121.36318105 36.83295006, -121.36318105 36.82747606))"
"2018",CA,CDF,BEU,EASTERN 2,"00002668",2018/06/04,2018/06/12,"11",,513.00000000000,528.17200000000,"1","1",,10684.77001150000,2137435.70658000000,"Polygon ((-120.90984863 36.36440676, -120.88093947 36.36440676, -120.88093947 36.37946795, -120.90984863 36.37946795, -120.90984863 36.36440676))"
"2018",CA,CDF,BEU,PANOCHE 2,"00002675",2018/06/04,2018/06/06,"9",,59.00000000000,56.71700000000,"1","1",,8168.76475893000,1076869.13544000010,"Polygon ((-121.01042412 36.64710505, -120.98624613 36.64710505, -120.98624613 36.65551729, -121.01042412 36.65551729, -121.01042412 36.64710505))"
"2018",CA,CDF,BEU,BEAVER,"00002837",2018/06/12,2018/06/18,"9",,215.00000000000,194.35600000000,"1","1",,6317.82701359000,786531.07030999998,"Polygon ((-120.88218859 36.37054203, -120.86092408 36.37054203, -120.86092408 36.38152815, -120.88218859 36.38152815, -120.88218859 36.37054203))"
"2018",CA,CDF,BEU,HIDDEN,"00003650",2018/07/25,2018/07/25,"14",,40.00000000000,38.78730000000,"1","1",,2113.18706628000,156966.70402300000,"Polygon ((-121.40490199 36.78150237, -121.39740011 36.78150237, -121.39740011 36.78582064, -121.40490199 36.78582064, -121.40490199 36.78150237))"
"2018",CA,CDF,BEU,TURKEY,"00003889",2018/08/06,2018/08/07,"9",,2225.00000000000,2222.98000000000,"1","1",,15059.13035330000,8996074.75957000069,"Polygon ((-120.340843 35.789783, -120.29747 35.789783, -120.29747 35.82962, -120.340843 35.82962, -120.340843 35.789783))"
"2018",CA,CDF,BEU,GULCH,"00003992",2018/08/11,2018/08/11,"2",,700.00000000000,683.04900000000,"1","1",,7799.99881380000,2764207.62335000001,"Polygon ((-120.83843504 35.99727675, -120.81021393 35.99727675, -120.81021393 36.01573898, -120.83843504 36.01573898, -120.83843504 35.99727675))"
"2018",CA,CDF,BEU,MANZANITA,"00004349",2018/09/01,2018/09/02,"11",,56.00000000000,59.65860000000,"1","1",,4086.51490149000,241442.24899900000,"Polygon ((-121.59170553 36.8078912, -121.58348766 36.8078912, -121.58348766 36.8163891, -121.59170553 36.8163891, -121.59170553 36.8078912))"
"2018",CA,CDF,BEU,METZ,"00004537",2018/09/13,2018/09/15,"11",,411.00000000000,411.98700000000,"1","1",,10953.91782520000,1667252.69941999996,"Polygon ((-121.19547716 36.35283533, -121.15699111 36.35283533, -121.15699111 36.37009131, -121.19547716 36.37009131, -121.19547716 36.35283533))"
"2018",CA,CDF,BEU,GABILAN,"00000798",2018/02/17,2018/02/17,"5",,16.00000000000,15.67680000000,"1","1",,1195.72810035000,63441.61984120000,"Polygon ((-121.53588323 36.78545007, -121.53086322 36.78545007, -121.53086322 36.78819112, -121.53588323 36.78819112, -121.53588323 36.78545007))"
"2018",CA,CDF,BEU,GRIFFEN,"00003044",2018/06/24,2018/06/27,"7",,10.00000000000,10.36750000000,"1","1",,934.31785784900,41955.96047280000,"Polygon ((-120.73561734 36.19905163, -120.73290621 36.19905163, -120.73290621 36.2016325, -120.73561734 36.2016325, -120.73561734 36.19905163))"
"2018",CA,CDF,BEU,RANCHITA,"00002961",2018/06/19,2018/06/19,"10",,12.00000000000,12.85660000000,"6","1",,1003.54401809000,52028.75305710000,"Polygon ((-120.58195489 35.79077, -120.57792085 35.79077, -120.57792085 35.7933012, -120.58195489 35.7933012, -120.58195489 35.79077))"
"2018",CA,CDF,BEU,PRIEST,"00005047",2018/10/13,2018/10/13,"2",,167.00000000000,171.94200000000,"1","1",,4151.94071351000,695823.03444600001,"Polygon ((-120.68633108 36.1662555, -120.67086076 36.1662555, -120.67086076 36.17513983, -120.68633108 36.17513983, -120.68633108 36.1662555))"
"2018",CA,CDF,BEU,PANOCHE,"00003366",2018/07/11,2018/07/15,"14",,278.00000000000,213.34600000000,"1","1",,9570.51399520000,863380.99340499996,"Polygon ((-121.01042412 36.64710505, -120.98624613 36.64710505, -120.98624613 36.65551729, -121.01042412 36.65551729, -121.01042412 36.64710505))"
